PPDA_H_Int1,PPDA_H_Int2,PPDA_H_Int3,PPDA_H_Int4,PPDA_H_Int5,PPDA_H_Int6,PPDA_A_Int1,PPDA_A_Int2,PPDA_A_Int3,PPDA_A_Int4,PPDA_A_Int5,PPDA_A_Int6,home team,away team,Relative quality,xG_H_Int1,xG_H_Int2,xG_H_Int3,xG_H_Int4,xG_H_Int5,xG_H_Int6,xG_A_Int1,xG_A_Int2,xG_A_Int3,xG_A_Int4,xG_A_Int5,xG_A_Int6,PPDA_H_1stHalf,PPDA_H_2ndHalf,PPDA_A_1stHalf,PPDA_A_2ndHalf,xG_H_1stHalf,xG_H_2ndHalf,xG_A_1stHalf,xG_A_2ndHalf,xG_H_Total,xG_A_Total,PPDA_H_Total,PPDA_A_Total,MatchSuspicionType,xG_Diff_Total,xG_Diff_1stHalf,xG_Diff_2ndHalf,PPDA_H_Change,PPDA_A_Change,HomePressingDrop,AwayPressingDrop,xG_H_Change,xG_A_Change,HomeAttackingDrop,AwayAttackingDrop,xG_H_Early,xG_A_Early,xG_H_Late,xG_A_Late,xG_H_Mid,xG_A_Mid,PPDA_H_Early,PPDA_A_Early,PPDA_H_Mid,PPDA_A_Mid,PPDA_H_Late,PPDA_A_Late,xG_H_to_PPDA,xG_A_to_PPDA,xG_H_TotalChange,xG_A_TotalChange,PPDA_H_TotalChange,PPDA_A_TotalChange
16.4,28.5,8.5,9.14,2.25,5.17,14.33,8.6,3.58,10.67,25.0,4.67,unidentified,unidentified,equal strength teams,0.15,0.09,0.0,0.0,0.11,0.07,0.21,0.0,0.76,0.02,0.0,0.0,17.8,5.52,8.84,13.45,0.24,0.18,0.97,0.02,0.42,0.99,11.66,11.14,unidentified,-0.57,-0.73,0.16,-12.28,4.61,0,1,-0.06,-0.95,1,1,0.15,0.23,0.07,0.76,0.2,0.0,12.77,12.5,15.38,16.8,6.84,4.12,0.04,0.09,0.3,1.73,42.55,52.5
9.8,16.67,5.83,4.0,42.0,6.0,31.5,8.86,5.33,15.2,9.83,4.78,unidentified,unidentified,away team stronger,0.08,0.32,0.02,0.15,0.41,0.82,0.46,0.0,0.34,0.19,0.11,0.53,10.77,17.33,15.23,9.94,0.42,1.38,0.8,0.83,1.8,1.63,14.05,12.58,unidentified,0.17,-0.38,0.55,6.56,-5.29,1,0,0.96,0.03,0,0,0.23,0.65,0.84,0.87,0.73,0.11,6.9,23.35,29.34,9.34,5.92,5.06,0.13,0.13,1.34,1.45,93.54,46.46
18.33,18.0,9.67,9.4,12.75,6.63,9.5,17.0,5.13,21.5,16.0,11.57,unidentified,unidentified,away team stronger,0.03,0.0,0.0,0.19,0.03,0.08,0.0,0.42,0.16,0.0,0.41,0.12,15.33,9.59,10.54,16.36,0.03,0.3,0.58,0.53,0.33,1.11,12.46,13.45,unidentified,-0.78,-0.55,-0.23,-5.74,5.82,0,1,0.27,-0.05,0,1,0.22,0.0,0.08,0.28,0.03,0.83,13.86,15.5,15.38,16.5,8.15,8.35,0.03,0.08,0.43,1.54,18.4,45.67
11.5,7.29,16.33,6.5,6.5,10.2,5.25,3.75,8.33,4.33,3.75,5.63,unidentified,unidentified,equal strength teams,0.0,0.31,0.0,0.09,0.44,0.0,0.11,0.01,0.1,0.0,0.03,0.0,11.71,7.73,5.78,4.57,0.31,0.53,0.22,0.03,0.84,0.25,9.72,5.17,unidentified,0.59,0.09,0.5,-3.98,-1.21,0,0,0.22,-0.19,0,1,0.09,0.11,0.0,0.1,0.75,0.04,9.0,4.79,6.9,3.75,13.26,6.98,0.09,0.05,1.5,0.35,26.78,12.54
10.0,21.0,20.0,11.33,8.6,15.75,4.33,6.5,3.31,8.6,7.6,50.0,unidentified,unidentified,away team stronger,0.0,0.0,0.13,0.6,0.51,0.22,0.51,0.0,0.47,0.75,0.59,0.81,17.0,11.89,4.71,22.07,0.13,1.33,0.98,2.15,1.46,3.13,14.45,13.39,unidentified,-1.67,-0.85,-0.82,-5.11,17.36,0,1,1.2,1.17,0,0,0.6,1.26,0.35,1.28,0.51,0.59,10.66,6.46,14.8,7.05,17.88,26.66,0.1,0.23,0.98,1.64,30.55,54.05
6.86,4.09,6.75,7.78,6.25,15.0,9.56,9.8,8.25,10.0,7.5,2.73,unidentified,unidentified,away team stronger,0.01,0.01,0.31,0.0,0.1,0.0,0.0,0.33,0.12,0.11,0.17,0.0,5.9,9.68,9.2,6.74,0.33,0.1,0.45,0.28,0.43,0.73,7.79,7.97,unidentified,-0.3,-0.12,-0.18,3.78,-2.46,1,0,-0.23,-0.17,1,1,0.01,0.11,0.31,0.12,0.11,0.5,7.32,9.78,5.17,8.65,10.88,5.49,0.06,0.09,0.81,0.78,16.74,10.81
4.5,8.67,10.4,6.17,9.67,5.5,6.33,5.5,7.33,5.63,5.29,6.25,unidentified,unidentified,home team stronger,0.05,0.09,0.37,0.03,0.04,0.31,0.0,0.1,0.0,0.0,0.04,0.0,7.86,7.11,6.39,5.72,0.51,0.38,0.1,0.04,0.89,0.14,7.48,6.06,unidentified,0.75,0.41,0.34,-0.75,-0.67,0,0,-0.13,-0.06,1,1,0.08,0.0,0.68,0.0,0.13,0.14,5.34,5.98,9.17,5.4,7.95,6.79,0.12,0.02,0.94,0.28,17.8,5.66
4.43,9.5,10.6,3.8,4.4,3.92,9.0,12.8,35.5,12.0,25.0,5.43,unidentified,unidentified,home team stronger,0.0,0.0,0.33,0.35,0.37,0.92,0.0,0.02,0.14,0.0,0.09,0.69,8.18,4.04,19.1,14.14,0.33,1.64,0.16,0.78,1.97,0.94,6.11,16.62,unidentified,1.03,0.17,0.86,-4.14,-4.96,0,0,1.31,0.62,0,0,0.35,0.0,1.25,0.83,0.37,0.11,4.12,10.5,6.95,18.9,7.26,20.46,0.32,0.06,0.92,0.97,14.05,82.57
2.6,1.14,6.2,2.71,3.4,5.6,7.67,8.4,17.75,6.57,11.33,11.5,unidentified,unidentified,equal strength teams,0.06,0.0,0.08,0.04,0.01,0.84,0.03,0.0,0.0,0.0,0.0,0.27,3.31,3.9,11.27,9.8,0.14,0.89,0.03,0.27,1.03,0.3,3.61,10.54,unidentified,0.73,0.11,0.62,0.59,-1.47,1,0,0.75,0.24,0,0,0.1,0.03,0.92,0.27,0.01,0.0,2.66,7.12,2.27,9.86,5.9,14.62,0.29,0.03,1.04,0.3,12.9,26.19
1.45,3.86,4.67,7.25,5.4,4.71,8.0,10.25,9.78,4.0,3.8,5.75,unidentified,unidentified,away team stronger,0.76,0.08,0.08,0.0,0.06,0.06,0.0,0.03,0.07,0.0,0.0,0.78,3.33,5.79,9.34,4.52,0.92,0.12,0.1,0.78,1.04,0.88,4.56,6.93,unidentified,0.16,0.82,-0.66,2.46,-4.82,1,0,-0.8,0.68,1,0,0.76,0.0,0.14,0.85,0.14,0.03,4.35,6.0,4.63,7.02,4.69,7.76,0.23,0.13,0.82,0.92,8.34,10.65
